feature_names,sample,qsampled,random_sample
ptsd1,1,1,3
ptsd2,2,1,3
ptsd4,3,,4
ptsd5,1,,4
ptsd6,2,3,3
ptsd7,1,1,1
ptsd11,1,3,3
ptsd12,1,2,4
ptsd13,1,4,5
ptsd14,1,3,4
ptsd15,2,5,2
ptsd16,2,2,2
ptsd18,3,3,1
ptsd20,2,1,2
ptsd23,2,,3
ptsd25,3,2,3
ptsd26,2,3,4
ptsd29,1,3,2
ptsd30,2,1,3
ptsd31,1,3,1
ptsd32,3,4,1
ptsd33,3,4,3
ptsd34,2,3,4
ptsd36,4,3,3
ptsd38,3,3,1
ptsd39,2,1,4
ptsd45,1,,2
ptsd47,4,3,3
ptsd50,3,1,4
ptsd52,2,2,4
ptsd53,2,1,3
ptsd55,1,2,1
ptsd56,2,1,2
ptsd57,4,3,2
ptsd59,2,1,1
ptsd61,3,5,4
ptsd62,1,1,3
ptsd69,1,1,1
ptsd70,1,2,5
ptsd71,1,3,1
ptsd74,2,2,4
ptsd75,2,2,5
ptsd77,3,,4
ptsd79,3,4,3
ptsd81,1,2,2
ptsd82,2,5,5
ptsd84,2,,3
ptsd85,1,5,1
ptsd87,3,4,1
ptsd91,2,4,3
ptsd93,3,2,3
ptsd97,2,2,1
ptsd99,2,2,1
ptsd101,1,5,5
ptsd102,1,5,3
ptsd104,2,2,4
ptsd107,2,3,1
ptsd111,2,,4
ptsd114,3,,3
ptsd115,1,1,4
ptsd116,1,1,3
ptsd118,1,1,3
ptsd123,2,3,2
ptsd128,3,3,3
ptsd129,2,1,4
ptsd133,2,2,4
ptsd135,1,3,2
ptsd138,1,,2
ptsd143,1,,2
ptsd148,3,2,4
ptsd149,1,2,3
ptsd155,2,4,4
ptsd158,2,1,4
ptsd159,3,3,2
ptsd162,1,1,1
ptsd165,3,1,2
ptsd167,3,2,4
ptsd168,2,1,2
ptsd169,2,2,1
ptsd170,2,2,1
ptsd173,2,2,5
ptsd176,2,3,5
ptsd180,3,1,1
ptsd181,1,,3
ptsd182,1,1,1
ptsd183,1,1,1
ptsd184,1,1,5
ptsd188,1,,3
ptsd189,1,1,2
ptsd192,2,1,1
ptsd193,2,2,2
ptsd196,2,2,5
ptsd197,1,2,4
ptsd199,3,2,3
ptsd204,3,4,2
ptsd211,2,,4
