feature_names,sample,qsampled,random_sample
ptsd3,1,3,3
ptsd4,1,2,3
ptsd6,2,4,1
ptsd10,1,1,4
ptsd15,3,,3
ptsd16,3,1,1
ptsd19,3,5,2
ptsd21,1,1,5
ptsd22,3,1,4
ptsd27,3,3,3
ptsd28,3,1,3
ptsd30,3,3,1
ptsd31,2,5,2
ptsd33,2,2,3
ptsd34,3,1,2
ptsd35,2,1,2
ptsd36,3,4,1
ptsd37,3,4,4
ptsd39,3,3,1
ptsd41,2,2,1
ptsd42,3,2,1
ptsd44,3,,4
ptsd45,2,3,1
ptsd47,1,1,2
ptsd48,3,3,4
ptsd49,4,1,1
ptsd52,3,2,1
ptsd53,4,1,1
ptsd56,2,2,4
ptsd59,4,4,1
ptsd60,2,,5
ptsd61,3,4,2
ptsd63,1,1,4
ptsd65,3,,2
ptsd66,3,1,3
ptsd72,3,2,1
ptsd77,4,,5
ptsd78,3,4,1
ptsd80,4,4,4
ptsd81,4,4,5
ptsd83,2,2,4
ptsd85,3,1,3
ptsd86,4,4,2
ptsd87,4,,5
ptsd88,4,,3
ptsd89,4,1,1
ptsd95,4,1,3
ptsd97,4,3,1
ptsd98,1,2,1
ptsd100,4,4,5
ptsd102,4,4,3
ptsd103,2,1,4
ptsd104,4,4,4
ptsd106,3,4,1
ptsd108,2,3,2
ptsd109,4,,3
ptsd110,4,,3
ptsd111,4,2,3
ptsd113,2,,4
ptsd114,2,2,2
ptsd116,2,,1
ptsd118,4,2,4
ptsd123,4,4,3
ptsd124,4,,2
ptsd126,4,3,3
ptsd127,4,4,2
ptsd129,4,3,1
ptsd131,3,1,3
ptsd135,4,4,4
ptsd137,3,1,4
ptsd138,3,3,3
ptsd142,3,1,1
ptsd143,3,,5
ptsd144,3,1,4
ptsd149,4,1,2
ptsd152,4,2,1
ptsd153,4,2,1
ptsd155,4,2,5
ptsd156,4,4,5
ptsd159,4,1,2
ptsd160,3,,1
ptsd162,3,,1
ptsd163,3,3,5
ptsd165,3,4,3
ptsd166,3,1,2
ptsd168,4,1,1
ptsd173,4,3,2
ptsd174,4,4,5
ptsd175,4,4,4
ptsd176,4,,3
ptsd177,4,,3
ptsd179,4,3,2
ptsd180,4,3,4
ptsd181,4,4,4
ptsd184,4,3,3
ptsd185,4,1,3
ptsd186,4,2,2
ptsd187,3,1,3
ptsd188,3,1,1
ptsd194,4,1,2
ptsd195,4,4,3
ptsd196,4,,2
ptsd197,4,3,1
ptsd198,4,4,5
ptsd199,4,,2
ptsd200,4,3,3
ptsd201,4,1,1
ptsd202,4,2,4
ptsd203,4,4,2
ptsd205,4,1,4
ptsd206,2,1,3
ptsd208,4,4,5
ptsd210,4,4,2
ptsd211,4,,4
